Zip Code,City,County
96701,Aiea,Honolulu County
96703,Anahola,Kauai County
96704,Captain Cook,Hawaii County
96705,Eleele,Kauai County
96706,Ewa Beach,Honolulu County
96707,Kapolei,Honolulu County
96708,Haiku,Maui County
96709,Kapolei,Honolulu County
96710,Hakalau,Hawaii County
96712,Haleiwa,Honolulu County
96713,Hana,Maui County
96714,Hanalei,Kauai County
96715,Hanamaulu,Kauai County
96716,Hanapepe,Kauai County
96717,Hauula,Honolulu County
96718,Hawaii National Park,Hawaii County
96719,Hawi,Hawaii County
96720,Hilo,Hawaii County
96721,Hilo,Hawaii County
96722,Princeville,Kauai County
96725,Holualoa,Hawaii County
96726,Honaunau,Hawaii County
96727,Honokaa,Hawaii County
96727,Paauhau,Hawaii County
96728,Honomu,Hawaii County
96729,Hoolehua,Maui County
96730,Kaaawa,Honolulu County
96731,Kahuku,Honolulu County
96732,Kahului,Maui County
96733,Kahului,Maui County
96734,Kailua,Honolulu County
96737,Ocean View,Hawaii County
96738,Waikoloa,Hawaii County
96739,Keauhou,Hawaii County
96740,Kailua Kona,Hawaii County
96741,Kalaheo,Kauai County
96742,Kalaupapa,Maui County
96743,Kamuela,Hawaii County
96744,Kaneohe,Honolulu County
96745,Kailua Kona,Hawaii County
96746,Kapaa,Kauai County
96747,Kaumakani,Kauai County
96748,Kaunakakai,Maui County
96749,Keaau,Hawaii County
96750,Kealakekua,Hawaii County
96751,Kealia,Kauai County
96752,Kekaha,Kauai County
96753,Wailea,Maui County
96753,Kihei,Maui County
96754,Kilauea,Kauai County
96755,Kapaau,Hawaii County
96756,Koloa,Kauai County
96757,Kualapuu,Maui County
96759,Kunia,Honolulu County
96760,Kurtistown,Hawaii County
96761,Lahaina,Maui County
96762,Laie,Honolulu County
96763,Lanai City,Maui County
96764,Laupahoehoe,Hawaii County
96765,Lawai,Kauai County
96766,Lihue,Kauai County
96767,Lahaina,Maui County
96768,Makawao,Maui County
96769,Makaweli,Kauai County
96770,Maunaloa,Maui County
96771,Mountain View,Hawaii County
96772,Naalehu,Hawaii County
96773,Ninole,Hawaii County
96774,Ookala,Hawaii County
96776,Paauilo,Hawaii County
96777,Pahala,Hawaii County
96778,Pahoa,Hawaii County
96779,Paia,Maui County
96780,Papaaloa,Hawaii County
96781,Papaikou,Hawaii County
96782,Pearl City,Honolulu County
96783,Pepeekeo,Hawaii County
96784,Puunene,Maui County
96785,Volcano,Hawaii County
96786,Wahiawa,Honolulu County
96788,Pukalani,Maui County
96789,Mililani,Honolulu County
96790,Kula,Maui County
96791,Waialua,Honolulu County
96792,Waianae,Honolulu County
96793,Wailuku,Maui County
96795,Waimanalo,Honolulu County
96796,Waimea,Kauai County
96797,Waipahu,Honolulu County
96801,Honolulu,Honolulu County
96802,Honolulu,Honolulu County
96803,Honolulu,Honolulu County
96804,Honolulu,Honolulu County
96805,Honolulu,Honolulu County
96806,Honolulu,Honolulu County
96807,Honolulu,Honolulu County
96808,Honolulu,Honolulu County
96809,Honolulu,Honolulu County
96810,Honolulu,Honolulu County
96811,Honolulu,Honolulu County
96812,Honolulu,Honolulu County
96813,Honolulu,Honolulu County
96814,Honolulu,Honolulu County
96815,Honolulu,Honolulu County
96816,Honolulu,Honolulu County
96817,Honolulu,Honolulu County
96818,Honolulu,Honolulu County
96819,Honolulu,Honolulu County
96820,Honolulu,Honolulu County
96821,Honolulu,Honolulu County
96822,Honolulu,Honolulu County
96823,Honolulu,Honolulu County
96824,Honolulu,Honolulu County
96825,Honolulu,Honolulu County
96826,Honolulu,Honolulu County
96827,Honolulu,Honolulu County
96828,Honolulu,Honolulu County
96830,Honolulu,Honolulu County
96835,Honolulu,Honolulu County
96836,Honolulu,Honolulu County
96837,Honolulu,Honolulu County
96838,Honolulu,Honolulu County
96839,Honolulu,Honolulu County
96850,Honolulu,Honolulu County
96853,Hickam Afb,Honolulu County
96854,Wheeler Army Airfield,Honolulu County
96857,Schofield,Honolulu County
96857,Schofield Barracks,Honolulu County
96858,Fort Shafter,Honolulu County
96859,Tamc,Honolulu County
96860,Pearl Harbor,Honolulu County
96861,Camp H M Smith,Honolulu County
96862,Barbers Point,Honolulu County
96863,M C B H Kaneohe Bay,Honolulu County
96898,Wake Island,Honolulu County
